SEASON,DAYTYPE,YEAR,VALUE
1,1,2023,1
1,2,2023,1
1,3,2023,1
1,4,2023,15
1,5,2023,13
2,1,2023,1
2,2,2023,1
2,3,2023,1
2,4,2023,9
2,5,2023,16
3,1,2023,1
3,2,2023,1
3,3,2023,1
3,4,2023,22
3,5,2023,6
4,1,2023,1
4,2,2023,0
4,3,2023,1
4,4,2023,12
4,5,2023,16
5,1,2023,1
5,2,2023,1
5,3,2023,1
5,4,2023,13
5,5,2023,15
6,1,2023,1
6,2,2023,1
6,3,2023,1
6,4,2023,12
6,5,2023,15
7,1,2023,1
7,2,2023,1
7,3,2023,0
7,4,2023,20
7,5,2023,9
8,1,2023,1
8,2,2023,1
8,3,2023,0
8,4,2023,15
8,5,2023,14
9,1,2023,1
9,2,2023,1
9,3,2023,1
9,4,2023,15
9,5,2023,12
10,1,2023,1
10,2,2023,1
10,3,2023,1
10,4,2023,9
10,5,2023,19
11,1,2023,1
11,2,2023,1
11,3,2023,1
11,4,2023,12
11,5,2023,15
12,1,2023,1
12,2,2023,1
12,3,2023,1
12,4,2023,16
12,5,2023,12
1,1,2025,1
1,2,2025,1
1,3,2025,1
1,4,2025,15
1,5,2025,13
2,1,2025,1
2,2,2025,1
2,3,2025,1
2,4,2025,9
2,5,2025,16
3,1,2025,1
3,2,2025,1
3,3,2025,1
3,4,2025,22
3,5,2025,6
4,1,2025,1
4,2,2025,0
4,3,2025,1
4,4,2025,12
4,5,2025,16
5,1,2025,1
5,2,2025,1
5,3,2025,1
5,4,2025,13
5,5,2025,15
6,1,2025,1
6,2,2025,1
6,3,2025,1
6,4,2025,12
6,5,2025,15
7,1,2025,1
7,2,2025,1
7,3,2025,0
7,4,2025,20
7,5,2025,9
8,1,2025,1
8,2,2025,1
8,3,2025,0
8,4,2025,15
8,5,2025,14
9,1,2025,1
9,2,2025,1
9,3,2025,1
9,4,2025,15
9,5,2025,12
10,1,2025,1
10,2,2025,1
10,3,2025,1
10,4,2025,9
10,5,2025,19
11,1,2025,1
11,2,2025,1
11,3,2025,1
11,4,2025,12
11,5,2025,15
12,1,2025,1
12,2,2025,1
12,3,2025,1
12,4,2025,16
12,5,2025,12
1,1,2030,1
1,2,2030,1
1,3,2030,1
1,4,2030,15
1,5,2030,13
2,1,2030,1
2,2,2030,1
2,3,2030,1
2,4,2030,9
2,5,2030,16
3,1,2030,1
3,2,2030,1
3,3,2030,1
3,4,2030,22
3,5,2030,6
4,1,2030,1
4,2,2030,0
4,3,2030,1
4,4,2030,12
4,5,2030,16
5,1,2030,1
5,2,2030,1
5,3,2030,1
5,4,2030,13
5,5,2030,15
6,1,2030,1
6,2,2030,1
6,3,2030,1
6,4,2030,12
6,5,2030,15
7,1,2030,1
7,2,2030,1
7,3,2030,0
7,4,2030,20
7,5,2030,9
8,1,2030,1
8,2,2030,1
8,3,2030,0
8,4,2030,15
8,5,2030,14
9,1,2030,1
9,2,2030,1
9,3,2030,1
9,4,2030,15
9,5,2030,12
10,1,2030,1
10,2,2030,1
10,3,2030,1
10,4,2030,9
10,5,2030,19
11,1,2030,1
11,2,2030,1
11,3,2030,1
11,4,2030,12
11,5,2030,15
12,1,2030,1
12,2,2030,1
12,3,2030,1
12,4,2030,16
12,5,2030,12
1,1,2035,1
1,2,2035,1
1,3,2035,1
1,4,2035,15
1,5,2035,13
2,1,2035,1
2,2,2035,1
2,3,2035,1
2,4,2035,9
2,5,2035,16
3,1,2035,1
3,2,2035,1
3,3,2035,1
3,4,2035,22
3,5,2035,6
4,1,2035,1
4,2,2035,0
4,3,2035,1
4,4,2035,12
4,5,2035,16
5,1,2035,1
5,2,2035,1
5,3,2035,1
5,4,2035,13
5,5,2035,15
6,1,2035,1
6,2,2035,1
6,3,2035,1
6,4,2035,12
6,5,2035,15
7,1,2035,1
7,2,2035,1
7,3,2035,0
7,4,2035,20
7,5,2035,9
8,1,2035,1
8,2,2035,1
8,3,2035,0
8,4,2035,15
8,5,2035,14
9,1,2035,1
9,2,2035,1
9,3,2035,1
9,4,2035,15
9,5,2035,12
10,1,2035,1
10,2,2035,1
10,3,2035,1
10,4,2035,9
10,5,2035,19
11,1,2035,1
11,2,2035,1
11,3,2035,1
11,4,2035,12
11,5,2035,15
12,1,2035,1
12,2,2035,1
12,3,2035,1
12,4,2035,16
12,5,2035,12
1,1,2040,1
1,2,2040,1
1,3,2040,1
1,4,2040,15
1,5,2040,13
2,1,2040,1
2,2,2040,1
2,3,2040,1
2,4,2040,9
2,5,2040,16
3,1,2040,1
3,2,2040,1
3,3,2040,1
3,4,2040,22
3,5,2040,6
4,1,2040,1
4,2,2040,0
4,3,2040,1
4,4,2040,12
4,5,2040,16
5,1,2040,1
5,2,2040,1
5,3,2040,1
5,4,2040,13
5,5,2040,15
6,1,2040,1
6,2,2040,1
6,3,2040,1
6,4,2040,12
6,5,2040,15
7,1,2040,1
7,2,2040,1
7,3,2040,0
7,4,2040,20
7,5,2040,9
8,1,2040,1
8,2,2040,1
8,3,2040,0
8,4,2040,15
8,5,2040,14
9,1,2040,1
9,2,2040,1
9,3,2040,1
9,4,2040,15
9,5,2040,12
10,1,2040,1
10,2,2040,1
10,3,2040,1
10,4,2040,9
10,5,2040,19
11,1,2040,1
11,2,2040,1
11,3,2040,1
11,4,2040,12
11,5,2040,15
12,1,2040,1
12,2,2040,1
12,3,2040,1
12,4,2040,16
12,5,2040,12
1,1,2045,1
1,2,2045,1
1,3,2045,1
1,4,2045,15
1,5,2045,13
2,1,2045,1
2,2,2045,1
2,3,2045,1
2,4,2045,9
2,5,2045,16
3,1,2045,1
3,2,2045,1
3,3,2045,1
3,4,2045,22
3,5,2045,6
4,1,2045,1
4,2,2045,0
4,3,2045,1
4,4,2045,12
4,5,2045,16
5,1,2045,1
5,2,2045,1
5,3,2045,1
5,4,2045,13
5,5,2045,15
6,1,2045,1
6,2,2045,1
6,3,2045,1
6,4,2045,12
6,5,2045,15
7,1,2045,1
7,2,2045,1
7,3,2045,0
7,4,2045,20
7,5,2045,9
8,1,2045,1
8,2,2045,1
8,3,2045,0
8,4,2045,15
8,5,2045,14
9,1,2045,1
9,2,2045,1
9,3,2045,1
9,4,2045,15
9,5,2045,12
10,1,2045,1
10,2,2045,1
10,3,2045,1
10,4,2045,9
10,5,2045,19
11,1,2045,1
11,2,2045,1
11,3,2045,1
11,4,2045,12
11,5,2045,15
12,1,2045,1
12,2,2045,1
12,3,2045,1
12,4,2045,16
12,5,2045,12
1,1,2050,1
1,2,2050,1
1,3,2050,1
1,4,2050,15
1,5,2050,13
2,1,2050,1
2,2,2050,1
2,3,2050,1
2,4,2050,9
2,5,2050,16
3,1,2050,1
3,2,2050,1
3,3,2050,1
3,4,2050,22
3,5,2050,6
4,1,2050,1
4,2,2050,0
4,3,2050,1
4,4,2050,12
4,5,2050,16
5,1,2050,1
5,2,2050,1
5,3,2050,1
5,4,2050,13
5,5,2050,15
6,1,2050,1
6,2,2050,1
6,3,2050,1
6,4,2050,12
6,5,2050,15
7,1,2050,1
7,2,2050,1
7,3,2050,0
7,4,2050,20
7,5,2050,9
8,1,2050,1
8,2,2050,1
8,3,2050,0
8,4,2050,15
8,5,2050,14
9,1,2050,1
9,2,2050,1
9,3,2050,1
9,4,2050,15
9,5,2050,12
10,1,2050,1
10,2,2050,1
10,3,2050,1
10,4,2050,9
10,5,2050,19
11,1,2050,1
11,2,2050,1
11,3,2050,1
11,4,2050,12
11,5,2050,15
12,1,2050,1
12,2,2050,1
12,3,2050,1
12,4,2050,16
12,5,2050,12
