LIMITEDTECHS,YEAR,VALUE
ELPEDISON,2023,0.3
KORINTHOS_POWER,2023,0.3
PROTERGIA_CC,2023,0.3
AIS_Aliveriou,2023,0.3
AIS_Komotinis,2023,0.3
AIS_Lavriou_IV,2023,0.3
AIS_Lavriou_V,2023,0.3
Alouminion,2023,0.3
Energ_Thesalonikis,2023,0.3
IronII_CCGT,2023,0.3
THIS_Ag.Nikolaos,2023,0.3
AIS_Megalopoli_V,2023,0.3
CCGT,2023,0.3
Biomass_CCS,2023,0.6
Gas_CCS,2023,0.3
ELPEDISON,2025,0.3
KORINTHOS_POWER,2025,0.3
PROTERGIA_CC,2025,0.3
AIS_Aliveriou,2025,0.3
AIS_Komotinis,2025,0.3
AIS_Lavriou_IV,2025,0.3
AIS_Lavriou_V,2025,0.3
Alouminion,2025,0.3
Energ_Thesalonikis,2025,0.3
IronII_CCGT,2025,0.3
THIS_Ag.Nikolaos,2025,0.3
AIS_Megalopoli_V,2025,0.3
CCGT,2025,0.3
Biomass_CCS,2025,0.6
Gas_CCS,2025,0.3
ELPEDISON,2030,0.3
KORINTHOS_POWER,2030,0.3
PROTERGIA_CC,2030,0.3
AIS_Aliveriou,2030,0.3
AIS_Komotinis,2030,0.3
AIS_Lavriou_IV,2030,0.3
AIS_Lavriou_V,2030,0.3
Alouminion,2030,0.3
Energ_Thesalonikis,2030,0.3
IronII_CCGT,2030,0.3
THIS_Ag.Nikolaos,2030,0.3
AIS_Megalopoli_V,2030,0.3
CCGT,2030,0.3
Biomass_CCS,2030,0.6
Gas_CCS,2030,0.3
ELPEDISON,2035,0.3
KORINTHOS_POWER,2035,0.3
PROTERGIA_CC,2035,0.3
AIS_Aliveriou,2035,0.3
AIS_Komotinis,2035,0.3
AIS_Lavriou_IV,2035,0.3
AIS_Lavriou_V,2035,0.3
Alouminion,2035,0.3
Energ_Thesalonikis,2035,0.3
IronII_CCGT,2035,0.3
THIS_Ag.Nikolaos,2035,0.3
AIS_Megalopoli_V,2035,0.3
CCGT,2035,0.3
Biomass_CCS,2035,0.6
Gas_CCS,2035,0.3
ELPEDISON,2040,0.3
KORINTHOS_POWER,2040,0.3
PROTERGIA_CC,2040,0.3
AIS_Aliveriou,2040,0.3
AIS_Komotinis,2040,0.3
AIS_Lavriou_IV,2040,0.3
AIS_Lavriou_V,2040,0.3
Alouminion,2040,0.3
Energ_Thesalonikis,2040,0.3
IronII_CCGT,2040,0.3
THIS_Ag.Nikolaos,2040,0.3
AIS_Megalopoli_V,2040,0.3
CCGT,2040,0.3
Biomass_CCS,2040,0.6
Gas_CCS,2040,0.3
ELPEDISON,2045,0.3
KORINTHOS_POWER,2045,0.3
PROTERGIA_CC,2045,0.3
AIS_Aliveriou,2045,0.3
AIS_Komotinis,2045,0.3
AIS_Lavriou_IV,2045,0.3
AIS_Lavriou_V,2045,0.3
Alouminion,2045,0.3
Energ_Thesalonikis,2045,0.3
IronII_CCGT,2045,0.3
THIS_Ag.Nikolaos,2045,0.3
AIS_Megalopoli_V,2045,0.3
CCGT,2045,0.3
Biomass_CCS,2045,0.6
Gas_CCS,2045,0.3
ELPEDISON,2050,0.3
KORINTHOS_POWER,2050,0.3
PROTERGIA_CC,2050,0.3
AIS_Aliveriou,2050,0.3
AIS_Komotinis,2050,0.3
AIS_Lavriou_IV,2050,0.3
AIS_Lavriou_V,2050,0.3
Alouminion,2050,0.3
Energ_Thesalonikis,2050,0.3
IronII_CCGT,2050,0.3
THIS_Ag.Nikolaos,2050,0.3
AIS_Megalopoli_V,2050,0.3
CCGT,2050,0.3
Biomass_CCS,2050,0.6
Gas_CCS,2050,0.3
