REGION,REGION,FUEL,YEAR,VALUE
Greece,Crete,Elec_Transmission,2023,0
Greece,Crete,Elec_Transmission,2025,1
Greece,Crete,Elec_Transmission,2030,1
Greece,Crete,Elec_Transmission,2035,1
Greece,Crete,Elec_Transmission,2040,1
Greece,Crete,Elec_Transmission,2045,1
Greece,Crete,Elec_Transmission,2050,1
Crete,Greece,Elec_Transmission,2023,0
Crete,Greece,Elec_Transmission,2025,1
Crete,Greece,Elec_Transmission,2030,1
Crete,Greece,Elec_Transmission,2035,1
Crete,Greece,Elec_Transmission,2040,1
Crete,Greece,Elec_Transmission,2045,1
Crete,Greece,Elec_Transmission,2050,1
