REGION,STORAGE,YEAR,VALUE
EL51,BATTERY_STORAGE_NEW,2023,107477.6759
EL51,BATTERY_STORAGE_NEW,2025,86091.17849
EL51,BATTERY_STORAGE_NEW,2030,68247.88468
EL51,BATTERY_STORAGE_NEW,2035,62045.61997
EL51,BATTERY_STORAGE_NEW,2040,55877.37965
EL51,BATTERY_STORAGE_NEW,2045,49751.01497
EL51,BATTERY_STORAGE_NEW,2050,43676.99411
EL52,BATTERY_STORAGE_NEW,2023,107477.6759
EL52,BATTERY_STORAGE_NEW,2025,86091.17849
EL52,BATTERY_STORAGE_NEW,2030,68247.88468
EL52,BATTERY_STORAGE_NEW,2035,62045.61997
EL52,BATTERY_STORAGE_NEW,2040,55877.37965
EL52,BATTERY_STORAGE_NEW,2045,49751.01497
EL52,BATTERY_STORAGE_NEW,2050,43676.99411
EL53,BATTERY_STORAGE_NEW,2023,107477.6759
EL53,BATTERY_STORAGE_NEW,2025,86091.17849
EL53,BATTERY_STORAGE_NEW,2030,68247.88468
EL53,BATTERY_STORAGE_NEW,2035,62045.61997
EL53,BATTERY_STORAGE_NEW,2040,55877.37965
EL53,BATTERY_STORAGE_NEW,2045,49751.01497
EL53,BATTERY_STORAGE_NEW,2050,43676.99411
EL54,BATTERY_STORAGE_NEW,2023,107477.6759
EL54,BATTERY_STORAGE_NEW,2025,86091.17849
EL54,BATTERY_STORAGE_NEW,2030,68247.88468
EL54,BATTERY_STORAGE_NEW,2035,62045.61997
EL54,BATTERY_STORAGE_NEW,2040,55877.37965
EL54,BATTERY_STORAGE_NEW,2045,49751.01497
EL54,BATTERY_STORAGE_NEW,2050,43676.99411
EL61,BATTERY_STORAGE_NEW,2023,107477.6759
EL61,BATTERY_STORAGE_NEW,2025,86091.17849
EL61,BATTERY_STORAGE_NEW,2030,68247.88468
EL61,BATTERY_STORAGE_NEW,2035,62045.61997
EL61,BATTERY_STORAGE_NEW,2040,55877.37965
EL61,BATTERY_STORAGE_NEW,2045,49751.01497
EL61,BATTERY_STORAGE_NEW,2050,43676.99411
EL62,BATTERY_STORAGE_NEW,2023,107477.6759
EL62,BATTERY_STORAGE_NEW,2025,86091.17849
EL62,BATTERY_STORAGE_NEW,2030,68247.88468
EL62,BATTERY_STORAGE_NEW,2035,62045.61997
EL62,BATTERY_STORAGE_NEW,2040,55877.37965
EL62,BATTERY_STORAGE_NEW,2045,49751.01497
EL62,BATTERY_STORAGE_NEW,2050,43676.99411
EL63,BATTERY_STORAGE_NEW,2023,107477.6759
EL63,BATTERY_STORAGE_NEW,2025,86091.17849
EL63,BATTERY_STORAGE_NEW,2030,68247.88468
EL63,BATTERY_STORAGE_NEW,2035,62045.61997
EL63,BATTERY_STORAGE_NEW,2040,55877.37965
EL63,BATTERY_STORAGE_NEW,2045,49751.01497
EL63,BATTERY_STORAGE_NEW,2050,43676.99411
EL64,BATTERY_STORAGE_NEW,2023,107477.6759
EL64,BATTERY_STORAGE_NEW,2025,86091.17849
EL64,BATTERY_STORAGE_NEW,2030,68247.88468
EL64,BATTERY_STORAGE_NEW,2035,62045.61997
EL64,BATTERY_STORAGE_NEW,2040,55877.37965
EL64,BATTERY_STORAGE_NEW,2045,49751.01497
EL64,BATTERY_STORAGE_NEW,2050,43676.99411
EL65,BATTERY_STORAGE_NEW,2023,107477.6759
EL65,BATTERY_STORAGE_NEW,2025,86091.17849
EL65,BATTERY_STORAGE_NEW,2030,68247.88468
EL65,BATTERY_STORAGE_NEW,2035,62045.61997
EL65,BATTERY_STORAGE_NEW,2040,55877.37965
EL65,BATTERY_STORAGE_NEW,2045,49751.01497
EL65,BATTERY_STORAGE_NEW,2050,43676.99411
EL30,BATTERY_STORAGE_NEW,2023,107477.6759
EL30,BATTERY_STORAGE_NEW,2025,86091.17849
EL30,BATTERY_STORAGE_NEW,2030,68247.88468
EL30,BATTERY_STORAGE_NEW,2035,62045.61997
EL30,BATTERY_STORAGE_NEW,2040,55877.37965
EL30,BATTERY_STORAGE_NEW,2045,49751.01497
EL30,BATTERY_STORAGE_NEW,2050,43676.99411
Crete,BATTERY_STORAGE_NEW,2023,107477.6759
Crete,BATTERY_STORAGE_NEW,2025,86091.17849
Crete,BATTERY_STORAGE_NEW,2030,68247.88468
Crete,BATTERY_STORAGE_NEW,2035,62045.61997
Crete,BATTERY_STORAGE_NEW,2040,55877.37965
Crete,BATTERY_STORAGE_NEW,2045,49751.01497
Crete,BATTERY_STORAGE_NEW,2050,43676.99411
THIRA,BATTERY_STORAGE_NEW,2023,107477.6759
THIRA,BATTERY_STORAGE_NEW,2025,86091.17849
THIRA,BATTERY_STORAGE_NEW,2030,68247.88468
THIRA,BATTERY_STORAGE_NEW,2035,62045.61997
THIRA,BATTERY_STORAGE_NEW,2040,55877.37965
THIRA,BATTERY_STORAGE_NEW,2045,49751.01497
THIRA,BATTERY_STORAGE_NEW,2050,43676.99411
SAMOS,BATTERY_STORAGE_NEW,2023,107477.6759
SAMOS,BATTERY_STORAGE_NEW,2025,86091.17849
SAMOS,BATTERY_STORAGE_NEW,2030,68247.88468
SAMOS,BATTERY_STORAGE_NEW,2035,62045.61997
SAMOS,BATTERY_STORAGE_NEW,2040,55877.37965
SAMOS,BATTERY_STORAGE_NEW,2045,49751.01497
SAMOS,BATTERY_STORAGE_NEW,2050,43676.99411
CHIOS,BATTERY_STORAGE_NEW,2023,107477.6759
CHIOS,BATTERY_STORAGE_NEW,2025,86091.17849
CHIOS,BATTERY_STORAGE_NEW,2030,68247.88468
CHIOS,BATTERY_STORAGE_NEW,2035,62045.61997
CHIOS,BATTERY_STORAGE_NEW,2040,55877.37965
CHIOS,BATTERY_STORAGE_NEW,2045,49751.01497
CHIOS,BATTERY_STORAGE_NEW,2050,43676.99411
LESVOS,BATTERY_STORAGE_NEW,2023,107477.6759
LESVOS,BATTERY_STORAGE_NEW,2025,86091.17849
LESVOS,BATTERY_STORAGE_NEW,2030,68247.88468
LESVOS,BATTERY_STORAGE_NEW,2035,62045.61997
LESVOS,BATTERY_STORAGE_NEW,2040,55877.37965
LESVOS,BATTERY_STORAGE_NEW,2045,49751.01497
LESVOS,BATTERY_STORAGE_NEW,2050,43676.99411
LEMNOS,BATTERY_STORAGE_NEW,2023,107477.6759
LEMNOS,BATTERY_STORAGE_NEW,2025,86091.17849
LEMNOS,BATTERY_STORAGE_NEW,2030,68247.88468
LEMNOS,BATTERY_STORAGE_NEW,2035,62045.61997
LEMNOS,BATTERY_STORAGE_NEW,2040,55877.37965
LEMNOS,BATTERY_STORAGE_NEW,2045,49751.01497
LEMNOS,BATTERY_STORAGE_NEW,2050,43676.99411
RODOS,BATTERY_STORAGE_NEW,2023,107477.6759
RODOS,BATTERY_STORAGE_NEW,2025,86091.17849
RODOS,BATTERY_STORAGE_NEW,2030,68247.88468
RODOS,BATTERY_STORAGE_NEW,2035,62045.61997
RODOS,BATTERY_STORAGE_NEW,2040,55877.37965
RODOS,BATTERY_STORAGE_NEW,2045,49751.01497
RODOS,BATTERY_STORAGE_NEW,2050,43676.99411
KOS,BATTERY_STORAGE_NEW,2023,107477.6759
KOS,BATTERY_STORAGE_NEW,2025,86091.17849
KOS,BATTERY_STORAGE_NEW,2030,68247.88468
KOS,BATTERY_STORAGE_NEW,2035,62045.61997
KOS,BATTERY_STORAGE_NEW,2040,55877.37965
KOS,BATTERY_STORAGE_NEW,2045,49751.01497
KOS,BATTERY_STORAGE_NEW,2050,43676.99411
KARPATHOS,BATTERY_STORAGE_NEW,2023,107477.6759
KARPATHOS,BATTERY_STORAGE_NEW,2025,86091.17849
KARPATHOS,BATTERY_STORAGE_NEW,2030,68247.88468
KARPATHOS,BATTERY_STORAGE_NEW,2035,62045.61997
KARPATHOS,BATTERY_STORAGE_NEW,2040,55877.37965
KARPATHOS,BATTERY_STORAGE_NEW,2045,49751.01497
KARPATHOS,BATTERY_STORAGE_NEW,2050,43676.99411
SKYROS,BATTERY_STORAGE_NEW,2023,107477.6759
SKYROS,BATTERY_STORAGE_NEW,2025,86091.17849
SKYROS,BATTERY_STORAGE_NEW,2030,68247.88468
SKYROS,BATTERY_STORAGE_NEW,2035,62045.61997
SKYROS,BATTERY_STORAGE_NEW,2040,55877.37965
SKYROS,BATTERY_STORAGE_NEW,2045,49751.01497
SKYROS,BATTERY_STORAGE_NEW,2050,43676.99411
SERIFOS,BATTERY_STORAGE_NEW,2023,107477.6759
SERIFOS,BATTERY_STORAGE_NEW,2025,86091.17849
SERIFOS,BATTERY_STORAGE_NEW,2030,68247.88468
SERIFOS,BATTERY_STORAGE_NEW,2035,62045.61997
SERIFOS,BATTERY_STORAGE_NEW,2040,55877.37965
SERIFOS,BATTERY_STORAGE_NEW,2045,49751.01497
SERIFOS,BATTERY_STORAGE_NEW,2050,43676.99411
