SEASON,DAYTYPE,YEAR,VALUE
1,1,2023,1
1,2,2023,1
1,3,2023,1
1,4,2023,15
1,5,2023,13
2,1,2023,1
2,2,2023,1
2,3,2023,1
2,4,2023,20
2,5,2023,5
3,1,2023,1
3,2,2023,1
3,3,2023,1
3,4,2023,20
3,5,2023,8
4,1,2023,1
4,2,2023,1
4,3,2023,1
4,4,2023,18
4,5,2023,9
5,1,2023,1
5,2,2023,1
5,3,2023,1
5,4,2023,20
5,5,2023,8
6,1,2023,1
6,2,2023,1
6,3,2023,1
6,4,2023,12
6,5,2023,15
7,1,2023,1
7,2,2023,1
7,3,2023,1
7,4,2023,20
7,5,2023,8
8,1,2023,1
8,2,2023,1
8,3,2023,1
8,4,2023,13
8,5,2023,15
9,1,2023,1
9,2,2023,1
9,3,2023,1
9,4,2023,16
9,5,2023,11
10,1,2023,1
10,2,2023,1
10,3,2023,1
10,4,2023,18
10,5,2023,10
11,1,2023,1
11,2,2023,1
11,3,2023,1
11,4,2023,12
11,5,2023,15
12,1,2023,1
12,2,2023,1
12,3,2023,1
12,4,2023,13
12,5,2023,15
1,1,2025,1
1,2,2025,1
1,3,2025,1
1,4,2025,15
1,5,2025,13
2,1,2025,1
2,2,2025,1
2,3,2025,1
2,4,2025,20
2,5,2025,5
3,1,2025,1
3,2,2025,1
3,3,2025,1
3,4,2025,20
3,5,2025,8
4,1,2025,1
4,2,2025,1
4,3,2025,1
4,4,2025,18
4,5,2025,9
5,1,2025,1
5,2,2025,1
5,3,2025,1
5,4,2025,20
5,5,2025,8
6,1,2025,1
6,2,2025,1
6,3,2025,1
6,4,2025,12
6,5,2025,15
7,1,2025,1
7,2,2025,1
7,3,2025,1
7,4,2025,20
7,5,2025,8
8,1,2025,1
8,2,2025,1
8,3,2025,1
8,4,2025,13
8,5,2025,15
9,1,2025,1
9,2,2025,1
9,3,2025,1
9,4,2025,16
9,5,2025,11
10,1,2025,1
10,2,2025,1
10,3,2025,1
10,4,2025,18
10,5,2025,10
11,1,2025,1
11,2,2025,1
11,3,2025,1
11,4,2025,12
11,5,2025,15
12,1,2025,1
12,2,2025,1
12,3,2025,1
12,4,2025,13
12,5,2025,15
1,1,2030,1
1,2,2030,1
1,3,2030,1
1,4,2030,15
1,5,2030,13
2,1,2030,1
2,2,2030,1
2,3,2030,1
2,4,2030,20
2,5,2030,5
3,1,2030,1
3,2,2030,1
3,3,2030,1
3,4,2030,20
3,5,2030,8
4,1,2030,1
4,2,2030,1
4,3,2030,1
4,4,2030,18
4,5,2030,9
5,1,2030,1
5,2,2030,1
5,3,2030,1
5,4,2030,20
5,5,2030,8
6,1,2030,1
6,2,2030,1
6,3,2030,1
6,4,2030,12
6,5,2030,15
7,1,2030,1
7,2,2030,1
7,3,2030,1
7,4,2030,20
7,5,2030,8
8,1,2030,1
8,2,2030,1
8,3,2030,1
8,4,2030,13
8,5,2030,15
9,1,2030,1
9,2,2030,1
9,3,2030,1
9,4,2030,16
9,5,2030,11
10,1,2030,1
10,2,2030,1
10,3,2030,1
10,4,2030,18
10,5,2030,10
11,1,2030,1
11,2,2030,1
11,3,2030,1
11,4,2030,12
11,5,2030,15
12,1,2030,1
12,2,2030,1
12,3,2030,1
12,4,2030,13
12,5,2030,15
1,1,2035,1
1,2,2035,1
1,3,2035,1
1,4,2035,15
1,5,2035,13
2,1,2035,1
2,2,2035,1
2,3,2035,1
2,4,2035,20
2,5,2035,5
3,1,2035,1
3,2,2035,1
3,3,2035,1
3,4,2035,20
3,5,2035,8
4,1,2035,1
4,2,2035,1
4,3,2035,1
4,4,2035,18
4,5,2035,9
5,1,2035,1
5,2,2035,1
5,3,2035,1
5,4,2035,20
5,5,2035,8
6,1,2035,1
6,2,2035,1
6,3,2035,1
6,4,2035,12
6,5,2035,15
7,1,2035,1
7,2,2035,1
7,3,2035,1
7,4,2035,20
7,5,2035,8
8,1,2035,1
8,2,2035,1
8,3,2035,1
8,4,2035,13
8,5,2035,15
9,1,2035,1
9,2,2035,1
9,3,2035,1
9,4,2035,16
9,5,2035,11
10,1,2035,1
10,2,2035,1
10,3,2035,1
10,4,2035,18
10,5,2035,10
11,1,2035,1
11,2,2035,1
11,3,2035,1
11,4,2035,12
11,5,2035,15
12,1,2035,1
12,2,2035,1
12,3,2035,1
12,4,2035,13
12,5,2035,15
1,1,2040,1
1,2,2040,1
1,3,2040,1
1,4,2040,15
1,5,2040,13
2,1,2040,1
2,2,2040,1
2,3,2040,1
2,4,2040,20
2,5,2040,5
3,1,2040,1
3,2,2040,1
3,3,2040,1
3,4,2040,20
3,5,2040,8
4,1,2040,1
4,2,2040,1
4,3,2040,1
4,4,2040,18
4,5,2040,9
5,1,2040,1
5,2,2040,1
5,3,2040,1
5,4,2040,20
5,5,2040,8
6,1,2040,1
6,2,2040,1
6,3,2040,1
6,4,2040,12
6,5,2040,15
7,1,2040,1
7,2,2040,1
7,3,2040,1
7,4,2040,20
7,5,2040,8
8,1,2040,1
8,2,2040,1
8,3,2040,1
8,4,2040,13
8,5,2040,15
9,1,2040,1
9,2,2040,1
9,3,2040,1
9,4,2040,16
9,5,2040,11
10,1,2040,1
10,2,2040,1
10,3,2040,1
10,4,2040,18
10,5,2040,10
11,1,2040,1
11,2,2040,1
11,3,2040,1
11,4,2040,12
11,5,2040,15
12,1,2040,1
12,2,2040,1
12,3,2040,1
12,4,2040,13
12,5,2040,15
1,1,2045,1
1,2,2045,1
1,3,2045,1
1,4,2045,15
1,5,2045,13
2,1,2045,1
2,2,2045,1
2,3,2045,1
2,4,2045,20
2,5,2045,5
3,1,2045,1
3,2,2045,1
3,3,2045,1
3,4,2045,20
3,5,2045,8
4,1,2045,1
4,2,2045,1
4,3,2045,1
4,4,2045,18
4,5,2045,9
5,1,2045,1
5,2,2045,1
5,3,2045,1
5,4,2045,20
5,5,2045,8
6,1,2045,1
6,2,2045,1
6,3,2045,1
6,4,2045,12
6,5,2045,15
7,1,2045,1
7,2,2045,1
7,3,2045,1
7,4,2045,20
7,5,2045,8
8,1,2045,1
8,2,2045,1
8,3,2045,1
8,4,2045,13
8,5,2045,15
9,1,2045,1
9,2,2045,1
9,3,2045,1
9,4,2045,16
9,5,2045,11
10,1,2045,1
10,2,2045,1
10,3,2045,1
10,4,2045,18
10,5,2045,10
11,1,2045,1
11,2,2045,1
11,3,2045,1
11,4,2045,12
11,5,2045,15
12,1,2045,1
12,2,2045,1
12,3,2045,1
12,4,2045,13
12,5,2045,15
1,1,2050,1
1,2,2050,1
1,3,2050,1
1,4,2050,15
1,5,2050,13
2,1,2050,1
2,2,2050,1
2,3,2050,1
2,4,2050,20
2,5,2050,5
3,1,2050,1
3,2,2050,1
3,3,2050,1
3,4,2050,20
3,5,2050,8
4,1,2050,1
4,2,2050,1
4,3,2050,1
4,4,2050,18
4,5,2050,9
5,1,2050,1
5,2,2050,1
5,3,2050,1
5,4,2050,20
5,5,2050,8
6,1,2050,1
6,2,2050,1
6,3,2050,1
6,4,2050,12
6,5,2050,15
7,1,2050,1
7,2,2050,1
7,3,2050,1
7,4,2050,20
7,5,2050,8
8,1,2050,1
8,2,2050,1
8,3,2050,1
8,4,2050,13
8,5,2050,15
9,1,2050,1
9,2,2050,1
9,3,2050,1
9,4,2050,16
9,5,2050,11
10,1,2050,1
10,2,2050,1
10,3,2050,1
10,4,2050,18
10,5,2050,10
11,1,2050,1
11,2,2050,1
11,3,2050,1
11,4,2050,12
11,5,2050,15
12,1,2050,1
12,2,2050,1
12,3,2050,1
12,4,2050,13
12,5,2050,15
