REGION,STORAGE,VALUE
EL51,Thisavros_S,0.08
EL52,Sfikia_S,0.08
EL51,BATTERY_STORAGE_NEW,0.08
EL52,BATTERY_STORAGE_NEW,0.08
EL53,BATTERY_STORAGE_NEW,0.08
EL54,BATTERY_STORAGE_NEW,0.08
EL61,BATTERY_STORAGE_NEW,0.08
EL62,BATTERY_STORAGE_NEW,0.08
EL63,BATTERY_STORAGE_NEW,0.08
EL64,BATTERY_STORAGE_NEW,0.08
EL65,BATTERY_STORAGE_NEW,0.08
EL30,BATTERY_STORAGE_NEW,0.08
Crete,BATTERY_STORAGE_NEW,0.08
THIRA,BATTERY_STORAGE_NEW,0.08
SAMOS,BATTERY_STORAGE_NEW,0.08
CHIOS,BATTERY_STORAGE_NEW,0.08
LESVOS,BATTERY_STORAGE_NEW,0.08
LEMNOS,BATTERY_STORAGE_NEW,0.08
RODOS,BATTERY_STORAGE_NEW,0.08
KOS,BATTERY_STORAGE_NEW,0.08
KARPATHOS,BATTERY_STORAGE_NEW,0.08
SKYROS,BATTERY_STORAGE_NEW,0.08
SERIFOS,BATTERY_STORAGE_NEW,0.08
EL51,HPS_STORAGE_NEW,0.08
EL52,HPS_STORAGE_NEW,0.08
EL53,HPS_STORAGE_NEW,0.08
EL54,HPS_STORAGE_NEW,0.08
EL61,HPS_STORAGE_NEW,0.08
EL62,HPS_STORAGE_NEW,0.08
EL63,HPS_STORAGE_NEW,0.08
EL64,HPS_STORAGE_NEW,0.08
EL65,HPS_STORAGE_NEW,0.08
EL30,HPS_STORAGE_NEW,0.08
