REGION,EMISSION,YEAR,VALUE
EL65,CO2,2023,96.7689
EL65,CO2,2025,86.4
EL65,CO2,2030,86.4
EL65,CO2,2035,151.2
EL65,CO2,2040,313.2
EL65,CO2,2045,464.4
EL65,CO2,2050,529.2
EL64,CO2,2023,96.7689
EL64,CO2,2025,86.4
EL64,CO2,2030,86.4
EL64,CO2,2035,151.2
EL64,CO2,2040,313.2
EL64,CO2,2045,464.4
EL64,CO2,2050,529.2
EL63,CO2,2023,96.7689
EL63,CO2,2025,86.4
EL63,CO2,2030,86.4
EL63,CO2,2035,151.2
EL63,CO2,2040,313.2
EL63,CO2,2045,464.4
EL63,CO2,2050,529.2
EL62,CO2,2023,96.7689
EL62,CO2,2025,86.4
EL62,CO2,2030,86.4
EL62,CO2,2035,151.2
EL62,CO2,2040,313.2
EL62,CO2,2045,464.4
EL62,CO2,2050,529.2
EL61,CO2,2023,96.7689
EL61,CO2,2025,86.4
EL61,CO2,2030,86.4
EL61,CO2,2035,151.2
EL61,CO2,2040,313.2
EL61,CO2,2045,464.4
EL61,CO2,2050,529.2
EL54,CO2,2023,96.7689
EL54,CO2,2025,86.4
EL54,CO2,2030,86.4
EL54,CO2,2035,151.2
EL54,CO2,2040,313.2
EL54,CO2,2045,464.4
EL54,CO2,2050,529.2
EL53,CO2,2023,96.7689
EL53,CO2,2025,86.4
EL53,CO2,2030,86.4
EL53,CO2,2035,151.2
EL53,CO2,2040,313.2
EL53,CO2,2045,464.4
EL53,CO2,2050,529.2
EL52,CO2,2023,96.7689
EL52,CO2,2025,86.4
EL52,CO2,2030,86.4
EL52,CO2,2035,151.2
EL52,CO2,2040,313.2
EL52,CO2,2045,464.4
EL52,CO2,2050,529.2
EL51,CO2,2023,96.7689
EL51,CO2,2025,86.4
EL51,CO2,2030,86.4
EL51,CO2,2035,151.2
EL51,CO2,2040,313.2
EL51,CO2,2045,464.4
EL51,CO2,2050,529.2
EL30,CO2,2023,96.7689
EL30,CO2,2025,86.4
EL30,CO2,2030,86.4
EL30,CO2,2035,151.2
EL30,CO2,2040,313.2
EL30,CO2,2045,464.4
EL30,CO2,2050,529.2
Crete,CO2,2023,96.7689
Crete,CO2,2025,86.4
Crete,CO2,2030,86.4
Crete,CO2,2035,151.2
Crete,CO2,2040,313.2
Crete,CO2,2045,464.4
Crete,CO2,2050,529.2
THIRA,CO2,2023,96.7689
THIRA,CO2,2025,86.4
THIRA,CO2,2030,86.4
THIRA,CO2,2035,151.2
THIRA,CO2,2040,313.2
THIRA,CO2,2045,464.4
THIRA,CO2,2050,529.2
SAMOS,CO2,2023,96.7689
SAMOS,CO2,2025,86.4
SAMOS,CO2,2030,86.4
SAMOS,CO2,2035,151.2
SAMOS,CO2,2040,313.2
SAMOS,CO2,2045,464.4
SAMOS,CO2,2050,529.2
CHIOS,CO2,2023,96.7689
CHIOS,CO2,2025,86.4
CHIOS,CO2,2030,86.4
CHIOS,CO2,2035,151.2
CHIOS,CO2,2040,313.2
CHIOS,CO2,2045,464.4
CHIOS,CO2,2050,529.2
LESVOS,CO2,2023,96.7689
LESVOS,CO2,2025,86.4
LESVOS,CO2,2030,86.4
LESVOS,CO2,2035,151.2
LESVOS,CO2,2040,313.2
LESVOS,CO2,2045,464.4
LESVOS,CO2,2050,529.2
LEMNOS,CO2,2023,96.7689
LEMNOS,CO2,2025,86.4
LEMNOS,CO2,2030,86.4
LEMNOS,CO2,2035,151.2
LEMNOS,CO2,2040,313.2
LEMNOS,CO2,2045,464.4
LEMNOS,CO2,2050,529.2
RODOS,CO2,2023,96.7689
RODOS,CO2,2025,86.4
RODOS,CO2,2030,86.4
RODOS,CO2,2035,151.2
RODOS,CO2,2040,313.2
RODOS,CO2,2045,464.4
RODOS,CO2,2050,529.2
KOS,CO2,2023,96.7689
KOS,CO2,2025,86.4
KOS,CO2,2030,86.4
KOS,CO2,2035,151.2
KOS,CO2,2040,313.2
KOS,CO2,2045,464.4
KOS,CO2,2050,529.2
KARPATHOS,CO2,2023,96.7689
KARPATHOS,CO2,2025,86.4
KARPATHOS,CO2,2030,86.4
KARPATHOS,CO2,2035,151.2
KARPATHOS,CO2,2040,313.2
KARPATHOS,CO2,2045,464.4
KARPATHOS,CO2,2050,529.2
SKYROS,CO2,2023,96.7689
SKYROS,CO2,2025,86.4
SKYROS,CO2,2030,86.4
SKYROS,CO2,2035,151.2
SKYROS,CO2,2040,313.2
SKYROS,CO2,2045,464.4
SKYROS,CO2,2050,529.2
SERIFOS,CO2,2023,96.7689
SERIFOS,CO2,2025,86.4
SERIFOS,CO2,2030,86.4
SERIFOS,CO2,2035,151.2
SERIFOS,CO2,2040,313.2
SERIFOS,CO2,2045,464.4
SERIFOS,CO2,2050,529.2
