REGION,YEAR,VALUE
EL51,2023,1.02
EL51,2025,1.02
EL51,2030,1.02
EL51,2035,1.02
EL51,2040,1.02
EL51,2045,1.02
EL51,2050,1.02
Crete,2023,1.02
Crete,2025,1.02
Crete,2030,1.02
Crete,2035,1.02
Crete,2040,1.02
Crete,2045,1.02
Crete,2050,1.02
EL52,2023,1.02
EL52,2025,1.02
EL52,2030,1.02
EL52,2035,1.02
EL52,2040,1.02
EL52,2045,1.02
EL52,2050,1.02
EL53,2023,1.02
EL53,2025,1.02
EL53,2030,1.02
EL53,2035,1.02
EL53,2040,1.02
EL53,2045,1.02
EL53,2050,1.02
EL54,2023,1.02
EL54,2025,1.02
EL54,2030,1.02
EL54,2035,1.02
EL54,2040,1.02
EL54,2045,1.02
EL54,2050,1.02
EL61,2023,1.02
EL61,2025,1.02
EL61,2030,1.02
EL61,2035,1.02
EL61,2040,1.02
EL61,2045,1.02
EL61,2050,1.02
EL62,2023,1.02
EL62,2025,1.02
EL62,2030,1.02
EL62,2035,1.02
EL62,2040,1.02
EL62,2045,1.02
EL62,2050,1.02
EL63,2023,1.02
EL63,2025,1.02
EL63,2030,1.02
EL63,2035,1.02
EL63,2040,1.02
EL63,2045,1.02
EL63,2050,1.02
EL64,2023,1.02
EL64,2025,1.02
EL64,2030,1.02
EL64,2035,1.02
EL64,2040,1.02
EL64,2045,1.02
EL64,2050,1.02
EL65,2023,1.02
EL65,2025,1.02
EL65,2030,1.02
EL65,2035,1.02
EL65,2040,1.02
EL65,2045,1.02
EL65,2050,1.02
EL30,2023,1.02
EL30,2025,1.02
EL30,2030,1.02
EL30,2035,1.02
EL30,2040,1.02
EL30,2045,1.02
EL30,2050,1.02
THIRA,2023,1.02
THIRA,2025,1.02
THIRA,2030,1.02
THIRA,2035,1.02
THIRA,2040,1.02
THIRA,2045,1.02
THIRA,2050,1.02
SAMOS,2023,1.02
SAMOS,2025,1.02
SAMOS,2030,1.02
SAMOS,2035,1.02
SAMOS,2040,1.02
SAMOS,2045,1.02
SAMOS,2050,1.02
CHIOS,2023,1.02
CHIOS,2025,1.02
CHIOS,2030,1.02
CHIOS,2035,1.02
CHIOS,2040,1.02
CHIOS,2045,1.02
CHIOS,2050,1.02
LESVOS,2023,1.02
LESVOS,2025,1.02
LESVOS,2030,1.02
LESVOS,2035,1.02
LESVOS,2040,1.02
LESVOS,2045,1.02
LESVOS,2050,1.02
LEMNOS,2023,1.02
LEMNOS,2025,1.02
LEMNOS,2030,1.02
LEMNOS,2035,1.02
LEMNOS,2040,1.02
LEMNOS,2045,1.02
LEMNOS,2050,1.02
RODOS,2023,1.02
RODOS,2025,1.02
RODOS,2030,1.02
RODOS,2035,1.02
RODOS,2040,1.02
RODOS,2045,1.02
RODOS,2050,1.02
KOS,2023,1.02
KOS,2025,1.02
KOS,2030,1.02
KOS,2035,1.02
KOS,2040,1.02
KOS,2045,1.02
KOS,2050,1.02
KARPATHOS,2023,1.02
KARPATHOS,2025,1.02
KARPATHOS,2030,1.02
KARPATHOS,2035,1.02
KARPATHOS,2040,1.02
KARPATHOS,2045,1.02
KARPATHOS,2050,1.02
SKYROS,2023,1.02
SKYROS,2025,1.02
SKYROS,2030,1.02
SKYROS,2035,1.02
SKYROS,2040,1.02
SKYROS,2045,1.02
SKYROS,2050,1.02
SERIFOS,2023,1.02
SERIFOS,2025,1.02
SERIFOS,2030,1.02
SERIFOS,2035,1.02
SERIFOS,2040,1.02
SERIFOS,2045,1.02
SERIFOS,2050,1.02
