REGION,INTERCONNECTION,FUEL,YEAR,VALUE
EL51,TURKEY,Elec_Transmission,2023,1.93
EL51,BULGARIA,Elec_Transmission,2023,1.93
EL52,BULGARIA,Elec_Transmission,2023,1.35
EL53,NORTH_MACEDONIA,Elec_Transmission,2023,2.7
EL53,ALBANIA,Elec_Transmission,2023,1.35
EL54,ALBANIA,Elec_Transmission,2023,0.133
EL54,ITALY,Elec_Transmission,2023,0.5
EL51,TURKEY,Elec_Transmission,2025,1.93
EL51,BULGARIA,Elec_Transmission,2025,1.93
EL52,BULGARIA,Elec_Transmission,2025,1.35
EL53,NORTH_MACEDONIA,Elec_Transmission,2025,2.7
EL53,ALBANIA,Elec_Transmission,2025,1.35
EL54,ALBANIA,Elec_Transmission,2025,0.133
EL54,ITALY,Elec_Transmission,2025,0.5
EL51,TURKEY,Elec_Transmission,2030,1.93
EL51,BULGARIA,Elec_Transmission,2030,1.93
EL52,BULGARIA,Elec_Transmission,2030,1.35
EL53,NORTH_MACEDONIA,Elec_Transmission,2030,2.7
EL53,ALBANIA,Elec_Transmission,2030,1.35
EL54,ALBANIA,Elec_Transmission,2030,0.133
EL54,ITALY,Elec_Transmission,2030,0.5
EL51,TURKEY,Elec_Transmission,2035,1.93
EL51,BULGARIA,Elec_Transmission,2035,1.93
EL52,BULGARIA,Elec_Transmission,2035,1.35
EL53,NORTH_MACEDONIA,Elec_Transmission,2035,2.7
EL53,ALBANIA,Elec_Transmission,2035,1.35
EL54,ALBANIA,Elec_Transmission,2035,0.133
EL54,ITALY,Elec_Transmission,2035,0.5
EL51,TURKEY,Elec_Transmission,2040,1.93
EL51,BULGARIA,Elec_Transmission,2040,1.93
EL52,BULGARIA,Elec_Transmission,2040,1.35
EL53,NORTH_MACEDONIA,Elec_Transmission,2040,2.7
EL53,ALBANIA,Elec_Transmission,2040,1.35
EL54,ALBANIA,Elec_Transmission,2040,0.133
EL54,ITALY,Elec_Transmission,2040,0.5
EL51,TURKEY,Elec_Transmission,2045,1.93
EL51,BULGARIA,Elec_Transmission,2045,1.93
EL52,BULGARIA,Elec_Transmission,2045,1.35
EL53,NORTH_MACEDONIA,Elec_Transmission,2045,2.7
EL53,ALBANIA,Elec_Transmission,2045,1.35
EL54,ALBANIA,Elec_Transmission,2045,0.133
EL54,ITALY,Elec_Transmission,2045,0.5
EL51,TURKEY,Elec_Transmission,2050,1.93
EL51,BULGARIA,Elec_Transmission,2050,1.93
EL52,BULGARIA,Elec_Transmission,2050,1.35
EL53,NORTH_MACEDONIA,Elec_Transmission,2050,2.7
EL53,ALBANIA,Elec_Transmission,2050,1.35
EL54,ALBANIA,Elec_Transmission,2050,0.133
EL54,ITALY,Elec_Transmission,2050,0.5
