VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
YearlyExports,EL51,BULGARIA,Elec_Transmission,2023,2.271106180465006
YearlyExports,EL51,BULGARIA,Elec_Transmission,2025,7.366022583398877
YearlyExports,EL51,BULGARIA,Elec_Transmission,2030,8.184113206355946
YearlyExports,EL51,BULGARIA,Elec_Transmission,2035,10.248289172051086
YearlyExports,EL51,BULGARIA,Elec_Transmission,2040,14.859179261082783
YearlyExports,EL51,BULGARIA,Elec_Transmission,2045,19.36814883588369
YearlyExports,EL51,BULGARIA,Elec_Transmission,2050,28.133174323810877
YearlyExports,EL51,TURKEY,Elec_Transmission,2023,2.4471877798632615
YearlyExports,EL51,TURKEY,Elec_Transmission,2025,5.964554711904675
YearlyExports,EL51,TURKEY,Elec_Transmission,2030,6.810225919872009
YearlyExports,EL51,TURKEY,Elec_Transmission,2035,8.212913661068683
YearlyExports,EL51,TURKEY,Elec_Transmission,2040,9.283139075153041
YearlyExports,EL51,TURKEY,Elec_Transmission,2045,10.807731830672711
YearlyExports,EL51,TURKEY,Elec_Transmission,2050,14.026177390069247
YearlyExports,EL52,BULGARIA,Elec_Transmission,2023,1.7353412867937124
YearlyExports,EL52,BULGARIA,Elec_Transmission,2025,5.284581755739441
YearlyExports,EL52,BULGARIA,Elec_Transmission,2030,5.8413839376847
YearlyExports,EL52,BULGARIA,Elec_Transmission,2035,7.622849736185713
YearlyExports,EL52,BULGARIA,Elec_Transmission,2040,10.793588423936288
YearlyExports,EL52,BULGARIA,Elec_Transmission,2045,14.348888076614445
YearlyExports,EL52,BULGARIA,Elec_Transmission,2050,19.05772758573358
YearlyExports,EL53,ALBANIA,Elec_Transmission,2023,5.837968843352329
YearlyExports,EL53,ALBANIA,Elec_Transmission,2025,12.565164702165172
YearlyExports,EL53,ALBANIA,Elec_Transmission,2030,12.408865329881149
YearlyExports,EL53,ALBANIA,Elec_Transmission,2035,13.447164125536986
YearlyExports,EL53,ALBANIA,Elec_Transmission,2040,14.105686990989152
YearlyExports,EL53,ALBANIA,Elec_Transmission,2045,15.512100152834588
YearlyExports,EL53,ALBANIA,Elec_Transmission,2050,18.1843205931357
YearlyExports,EL53,NORTH_MACEDONIA,Elec_Transmission,2023,1.4865683430536654
YearlyExports,EL53,NORTH_MACEDONIA,Elec_Transmission,2025,12.163940539427239
YearlyExports,EL53,NORTH_MACEDONIA,Elec_Transmission,2030,15.0072817847696
YearlyExports,EL53,NORTH_MACEDONIA,Elec_Transmission,2035,19.319556258243285
YearlyExports,EL53,NORTH_MACEDONIA,Elec_Transmission,2040,23.51186741293092
YearlyExports,EL53,NORTH_MACEDONIA,Elec_Transmission,2045,27.312094464362275
YearlyExports,EL53,NORTH_MACEDONIA,Elec_Transmission,2050,31.816119209694172
YearlyExports,EL54,ALBANIA,Elec_Transmission,2023,0.5717794825553791
YearlyExports,EL54,ALBANIA,Elec_Transmission,2025,1.2119209198288063
YearlyExports,EL54,ALBANIA,Elec_Transmission,2030,1.2271512920762182
YearlyExports,EL54,ALBANIA,Elec_Transmission,2035,1.3310107442397152
YearlyExports,EL54,ALBANIA,Elec_Transmission,2040,1.4234015732077374
YearlyExports,EL54,ALBANIA,Elec_Transmission,2045,1.510812146475508
YearlyExports,EL54,ALBANIA,Elec_Transmission,2050,1.8170318538408055
YearlyExports,EL54,ITALY,Elec_Transmission,2023,3.035413465580379
YearlyExports,EL54,ITALY,Elec_Transmission,2025,8.6654765364173
YearlyExports,EL54,ITALY,Elec_Transmission,2030,8.988502992120424
YearlyExports,EL54,ITALY,Elec_Transmission,2035,9.540500767445677
YearlyExports,EL54,ITALY,Elec_Transmission,2040,10.338458011799215
YearlyExports,EL54,ITALY,Elec_Transmission,2045,11.00237475103503
YearlyExports,EL54,ITALY,Elec_Transmission,2050,11.816981661236255
